RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation41_Scenario6,11.24,1.51,2.06,14.81,1
Generation41_Scenario7,11.24,1.42,1.90,14.56,1
Generation41_Scenario8,11.26,1.43,1.63,14.32,1
Generation41_Scenario9,11.23,1.48,2.20,14.91,1
Generation41_Scenario10,11.23,1.46,1.79,14.48,1
Generation41_Scenario11,11.27,1.62,1.97,14.85,1
Generation41_Scenario12,11.21,1.52,2.43,15.15,1
Generation41_Scenario13,11.22,1.60,3.39,16.20,1
Generation41_Scenario14,22.49,2.85,3.39,28.73,2
Generation41_Scenario15,22.47,2.94,2.56,27.97,2
Generation41_Scenario16,11.27,1.50,1.50,14.26,1
Generation41_Scenario17,11.24,1.45,1.67,14.35,1
Generation41_Scenario18,11.24,1.46,1.98,14.68,1
Generation41_Scenario19,11.24,1.51,2.48,15.23,1
Generation41_Scenario20,11.24,1.47,1.81,14.52,1
Generation41_Scenario21,11.23,1.64,1.96,14.83,1
Generation41_Scenario22,11.26,1.49,2.14,14.89,1
Generation41_Scenario23,11.25,1.54,1.91,14.69,1
Generation41_Scenario24,11.25,1.55,2.48,15.28,1
Generation41_Scenario25,11.25,1.53,1.93,14.70,1
Generation41_Scenario26,11.23,1.50,3.21,15.93,1
Generation41_Scenario27,11.24,1.44,1.90,14.58,1
Generation41_Scenario28,11.23,1.52,2.91,15.65,1
Generation41_Scenario29,11.26,1.38,1.27,13.90,1
Generation41_Scenario30,11.22,1.49,2.29,15.00,1
Generation41_Scenario31,11.21,1.43,1.52,14.17,1
Generation41_Scenario32,11.29,1.48,2.26,15.03,1
Generation41_Scenario33,11.26,1.37,1.65,14.29,1
Generation41_Scenario34,11.24,1.38,2.08,14.70,1
Generation41_Scenario35,11.24,1.42,1.75,14.41,1
Generation41_Scenario36,11.21,1.47,2.00,14.69,1
Generation41_Scenario37,11.26,1.42,2.21,14.88,1
Generation41_Scenario38,11.22,1.38,2.15,14.75,1
Generation41_Scenario39,11.23,1.42,3.17,15.82,1
Generation41_Scenario40,11.24,1.46,1.85,14.56,1
Generation41_Scenario41,11.23,1.51,1.63,14.38,1
Generation41_Scenario42,11.25,1.41,2.35,15.01,1
Generation41_Scenario43,11.24,1.52,2.16,14.92,1
Generation41_Scenario44,11.22,1.42,1.96,14.60,1
Generation41_Scenario45,11.24,1.43,2.07,14.73,1
Generation41_Scenario46,11.25,1.42,2.33,15.00,1
Generation41_Scenario47,11.22,1.43,2.11,14.76,1
Generation41_Scenario48,11.22,1.52,2.05,14.79,1
Generation41_Scenario49,11.25,1.52,3.00,15.78,1
Generation41_Scenario50,11.26,2.35,2.58,16.19,1
Generation42_Scenario1,11.26,1.46,1.66,14.38,1
Generation42_Scenario2,11.23,1.42,1.96,14.62,1
Generation42_Scenario3,11.26,1.57,2.04,14.88,1
