record_name,c_x,c_y,c_type,adc_heading,adc_speed,obs_id,obs_heading,obs_speed,obs_type,obs_len,obs_wid,obs_height,speeding_x,speeding_y,speeding_value,speeding_duration,speeding_heading,lanes_speed_limit,uslc_x,uslc_y,uslc_duration,uslc_heading,fastAccl_x,fastAccl_y,fastAccl_value,fastAccl_duration,fastAccl_heading,hardBrake_x,hardBrake_y,hardBrake_value,hardBrake_duration,hardBrake_heading,c_counter,speeding_counter,uslc_counter,fastAccl_counter,hardBrake_counter,totalV
Generation0_Scenario1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('228a_1_-1'|30.0)|('384_1_-1'|78.0)},0,0,0,0,0,0,0,0,0,586531.3220197305,4141118.074654944,-4.037027682436967,0.2899653911590576,-1.8030599583328903,0,0,0,0,1,1
Generation1_Scenario18,0,0,0,0,0,0,0,0,0,0,0,0,586287.2604956822,4141281.9335590326,11.035396256467987,0.34997987747192383,2.9129080088429964,{('81a_1_-1'|30.0)|('218a_1_-1'|30.0)|('2807_1_-3'|117.0)|('2807_1_-2'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation9_Scenario24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('938_1_-1'|72.0)|('818_1_-1'|72.0)|('293_1_-2'|72.0)|('818_1_-2'|72.0)},0,0,0,0,0,0,0,0,0,586332.8842818061,4141484.7967241867,-4.019335723355593,0.470034122467041,2.94024758061229,0,0,0,0,1,1
Generation10_Scenario34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('408_1_-1'|56.0)},0,0,0,0,0,0,0,0,0,586760.8795857476,4140814.1674801637,-4.029653621504022,0.41000962257385254,2.889721232276715,0,0,0,0,1,1
Generation11_Scenario21,0,0,0,0,0,0,0,0,0,0,0,0,586253.7858346304,4141261.041979389,7.397644883432381,0.9000494480133057,1.305318141123296,{('2826_1_-2'|60.0)|('316_1_-1'|117.0)|('102a_1_-1'|30.0)|('803_1_-1'|117.0)|('316_1_-2'|117.0)|('2825_1_-2'|60.0)|('13a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation13_Scenario22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('655_1_-1'|104.0)|('659_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,588307.835990612,4140853.6676920825,-4.01081277704523,0.32393574714660645,-1.4546239902243,0,0,0,0,1,1
Generation15_Scenario15,0,0,0,0,0,0,0,0,0,0,0,0,586253.8873094681,4141260.9889511745,7.774731382158659,0.8899824619293213,1.3092705286883088,{('2826_1_-2'|60.0)|('182_1_-2'|117.0)|('316_1_-1'|117.0)|('102a_1_-1'|30.0)|('803_1_-1'|117.0)|('316_1_-2'|117.0)|('2825_1_-2'|60.0)|('13a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation15_Scenario21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1264_1_-1'|104.0)},0,0,0,0,0,0,0,0,0,586429.8527955436,4140145.1641033734,-4.001230858438974,0.3200533390045166,-2.9949378660204764,0,0,0,0,1,1
Generation15_Scenario47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('410_1_-1'|65.0)},0,0,0,0,0,0,0,0,0,587293.2243584174,4140718.96744244,-4.006412059134583,0.1499619483947754,-0.2655666330943416,0,0,0,0,1,1
Generation16_Scenario33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('436_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,587005.2278967423,4140567.5773560484,-4.002200636747488,0.40997910499572754,-0.24484839503427125,0,0,0,0,1,1
