RecordName,ObsNum,AVG_OBS2ADC_Distance,Speed_Below_Limit,ADC2LaneBound_Distance,FastAccl,HardBrake
Generation0_Scenario1,6,1389.076985973429,55.589262168401255,0.008849314717410317,-1,9223372036854775807
Generation0_Scenario2,7,1433.8806335788302,79.89173687404515,0.09376767152999439,2.0,-2.1347055017136367
Generation0_Scenario3,3,539.214209035585,22.396394071013127,1.6744487093160487,2.0,-3.359135065974441
Generation0_Scenario4,14,1150.3004934386552,64.83561279066922,0.005043723955138604,2.0,0.0
Generation0_Scenario5,8,563.4499597492226,77.20916553047326,0.003815759143104105,2.0,0.0
Generation0_Scenario6,12,810.2049636743483,19.276064990064306,0.11150415926059068,-1,9223372036854775807
Generation0_Scenario7,11,1138.4366384041086,25.70235441727195,0.2883311695542064,2.0,-0.6609956229739931
Generation0_Scenario8,4,1373.9540273870896,-3.6228820954583263,0.13922808409371137,2.0,-1.9932759870382621
Generation0_Scenario9,12,1318.7920469934782,38.4376690636515,0.32965036952532734,2.0,0.0
Generation0_Scenario10,15,1002.9686836828222,50.74301787599941,0.005334526113107508,2.0,0.0
Generation0_Scenario11,15,1108.2323523269054,32.42707885718962,0.46224227877614493,2.0,0.0
Generation0_Scenario12,13,657.5350979392219,26.857850338645406,0.23193020673867232,2.0,-2.3715844318550534
Generation0_Scenario13,9,1285.7503741497717,64.4336713223495,0.45540823984621787,2.0,0.0
Generation0_Scenario14,13,797.1091687292088,16.538134970839444,0.6087982010130591,-1,9223372036854775807
Generation0_Scenario15,3,1042.9300309802802,75.88937401779297,0.008027661249860932,2.0,-0.5486554071826865
Generation0_Scenario16,15,1135.91526981029,29.000317532231463,0.11470704690441465,2.0,-3.1430014358625056
Generation0_Scenario17,5,1040.0654377416843,37.293618671479,0.004713070594328321,2.0,-2.0487879526817876
Generation0_Scenario18,3,630.9516654832689,-4.572406363190243,0.44978854059418355,2.0,-1.0516482606275992
Generation0_Scenario19,8,712.0026452721653,31.51099300817365,9223372036854775807,1.9815479607638118,-0.16493845778935265
Generation0_Scenario20,12,1095.5361915136257,8.256600857748523,0.26159278546423476,2.0,-3.8021960591091117
Generation0_Scenario21,12,1035.0036798518618,21.881453531986857,0.0003666620508829083,1.9792512974126997,0.0
Generation0_Scenario22,8,1090.2723548550996,63.62571626221251,0.4394483666274092,2.0,-0.09029367397566651
Generation0_Scenario23,4,966.0979782823374,27.247049115741035,1.971154658026816,2.0,-1.240038092413493
Generation0_Scenario24,12,832.6910954084616,77.5460310060993,0.35311277759828896,2.0,0.0
Generation0_Scenario25,10,1005.0388961353121,21.215873984108967,0.00030403961049547094,2.0,0.0
Generation0_Scenario26,11,1198.7288477440372,78.21539435217665,0.2260640324716056,2.0,-1.093323978169407
Generation0_Scenario27,6,729.1775665600793,30.05472416602936,0.05195921011011395,1.9736695837221183,-1.1065739915450714
Generation0_Scenario28,6,411.3203527647056,32.424006334888524,0.49281618059997395,2.0,0.0
Generation0_Scenario29,8,1241.8053864338012,32.45014177963437,0.47415468635959507,2.0,0.0
Generation0_Scenario30,6,1786.4292044794063,77.42326491677827,0.37239246481468297,2.0,0.0
Generation0_Scenario31,5,839.5102952483728,-1.8638132007782922,0.00289898611605705,2.0,-3.0272890987091134
Generation0_Scenario32,7,1117.703876801076,34.15712906000073,0.4190072238518742,2.0,0.0
Generation0_Scenario33,9,1509.5811543780787,26.846958943271858,0.002385765078155559,-1,9223372036854775807
Generation0_Scenario34,10,989.8340083989857,69.47418042277863,0.004464865557262018,2.0,0.0
Generation0_Scenario35,6,1000.2514736929733,0.41734022418016536,1.9622342738651102,2.0,0.0
Generation0_Scenario36,9,770.3582900757559,32.45655576070104,0.9311587970591313,2.0,0.0
Generation0_Scenario37,12,1076.0834246425813,34.305583804025815,0.27209288481847227,2.0,0.0
Generation0_Scenario38,15,887.1647212252751,46.55842553404766,1.473756353268111,2.0,-4.4687604921671955
Generation0_Scenario39,4,757.9912318929075,46.53708204349663,0.5836206964909872,2.0,-1.4562514411843206
Generation0_Scenario40,7,1261.189583309097,31.119676740213393,0.3703303790183924,2.0,0.0
Generation0_Scenario41,3,1013.6699507188501,33.94202139564472,0.1218211146175238,2.0,-0.11555922082932635
Generation0_Scenario42,3,1209.5658964421084,77.42340425773303,0.5966564102480013,2.0,0.0
Generation0_Scenario43,14,1373.148805110782,64.55824987580532,0.5322448794656995,2.0,0.0
Generation0_Scenario44,5,838.6656261735612,-15.253884125531709,0.004232193425947288,2.0,0.0
Generation0_Scenario45,5,1278.9611533722,64.31170744985374,0.5474589992725692,2.0,0.0
Generation0_Scenario46,14,1197.5504814948351,25.43680808724868,2.006579244187766,2.0,0.0
Generation0_Scenario47,8,1325.7886888440532,22.06346931704656,0.008785877602404919,1.9999999999999998,0.0
Generation0_Scenario48,13,982.0732667665494,2.1478494477973733,0.26558310189085743,2.0,-3.4190710461614415
Generation0_Scenario49,12,1032.1206080037957,61.75564032797101,0.35595717221279843,2.0,-2.544048453454867
Generation0_Scenario50,3,673.5101337227783,19.348197210357775,0.003556475386891029,2.0,0.0
Generation1_Scenario1,6,571.7997252778127,24.02584766628678,1.6099682674066298,-1,9223372036854775807
Generation1_Scenario2,7,635.3204622356379,31.790808090514602,0.002698014898754516,1.9730039886643862,-0.12535916032027222
Generation1_Scenario3,3,468.33716719521334,29.314619221100443,9223372036854775807,1.9764619484333767,-1.637908621260892
Generation1_Scenario4,14,670.8653764546035,74.80765476750625,0.002140153915464259,2.0,-0.9739925692475137
