record_name,c_x,c_y,c_type,adc_heading,adc_speed,obs_id,obs_heading,obs_speed,obs_type,obs_len,obs_wid,obs_height,speeding_x,speeding_y,speeding_value,speeding_duration,speeding_heading,lanes_speed_limit,uslc_x,uslc_y,uslc_duration,uslc_heading,fastAccl_x,fastAccl_y,fastAccl_value,fastAccl_duration,fastAccl_heading,hardBrake_x,hardBrake_y,hardBrake_value,hardBrake_duration,hardBrake_heading,c_counter,speeding_counter,uslc_counter,fastAccl_counter,hardBrake_counter,totalV
Generation0_Scenario38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('718_1_-1'|91.0)|('436_1_-1'|91.0)},0,0,0,0,0,0,0,0,0,587005.4899909808,4140567.517969366,-4.005216794205141,0.5923523902893066,-0.2456692643904228,0,0,0,0,1,1
Generation0_Scenario44,0,0,0,0,0,0,0,0,0,0,0,0,586253.7839995592,4141260.9733788935,5.949926224974153,0.9199843406677246,1.2988120255911761,{('803_1_-1'|117.0)|('316_1_-2'|117.0)|('102a_1_-1'|30.0)|('13a_1_-1'|30.0)|('2826_1_-2'|60.0)|('316_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation3_Scenario35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1564_1_-5'|72.0)|('1564_1_-4'|72.0)|('1563_1_-4'|117.0)|('183_1_-4'|117.0)},0,0,0,0,0,0,0,0,0,586310.1464666349,4141455.637607675,-4.012428907324605,0.1400158405303955,1.2869242213657142,0,0,0,0,1,1
Generation6_Scenario2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('1440_1_-3'|72.0)|('1440_1_-2'|72.0)|('33a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,587368.8084797513,4141504.0096416315,-4.001217625805971,0.3599569797515869,-0.08297570600148063,0,0,0,0,1,1
Generation6_Scenario25,587825.4665689976,4140710.227656985,0,-1.809362254548715,27.173514827359405,4258,-1.8287021210743584,32.53493458069764,2,12.022510652371231,2.2481044814385145,4.673616061235302,0,0,0,0,0,{('502_1_-1'|65.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Generation7_Scenario41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('239_1_-1'|117.0)|('239_1_-2'|117.0)|('188_1_-3'|117.0)|('240_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,586270.3517018415,4141365.248623828,-4.028704652850097,0.5699806213378906,-1.4803292639114258,0,0,0,0,1,1
Generation8_Scenario10,588053.5217090116,4140613.242540068,1,0.35842924653742525,24.66207640122313,9486,0.33487063594727984,54.63647325752555,2,4.9761136155854295,2.0118664862396676,1.708916895044445,0,0,0,0,0,{('320a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,588060.5087273497,4140616.468305696,-4.002087166814339,0.14998888969421387,0.5192272156558855,1,0,0,0,1,2
Generation8_Scenario37,588185.985685476,4141340.947497511,0,2.9046202798617333,38.70556635722632,15550,2.9064855576079727,52.79453339992478,2,4.1941765933020445,2.1216620272929143,3.4502747604620376,0,0,0,0,0,{('62_1_-1'|72.0)},0,0,0,0,0,0,0,0,0,588166.9696936248,4141345.5195925254,-4.034978283886859,0.15996503829956055,2.906174054416388,1,0,0,0,1,2
Generation8_Scenario38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('634_1_-1'|104.0)|('650_1_-2'|104.0)|('652_1_-1'|104.0)},0,0,0,0,588332.5009928759,4140973.498311396,4.0,0.3599996566772461,1.3129596978069353,0,0,0,0,0,0,0,0,1,0,1
Generation10_Scenario20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('776_1_-2'|78.0)|('777_1_-1'|78.0)|('776_1_-1'|78.0)},0,0,0,0,0,0,0,0,0,586416.3421385937,4140778.1114540584,-4.013447158489492,0.1900317668914795,-0.3028634327409261,0,0,0,0,1,1
Generation11_Scenario5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{('2807_1_-3'|117.0)|('2807_1_-2'|117.0)|('218a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,586287.9038216675,4141282.5662342957,-4.036050257846551,0.3500549793243408,2.7984063600322147,0,0,0,0,1,1
Generation14_Scenario8,0,0,0,0,0,0,0,0,0,0,0,0,586253.1004544855,4141261.2950567617,11.369445736989167,0.939995288848877,1.2695784204818885,{('182_1_-1'|117.0)|('102a_1_-1'|30.0)|('2825_1_-2'|60.0)|('2825_1_-1'|60.0)|('13a_1_-1'|30.0)|('2826_1_-2'|60.0)|('316_1_-1'|117.0)},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Generation17_Scenario31,0,0,0,0,0,0,0,0,0,0,0,0,586287.475846616,4141282.8627532776,5.044938330095935,0.0,2.796986732098844,{('2807_1_-3'|117.0)|('2807_1_-2'|117.0)|('218a_1_-1'|30.0)},0,0,0,0,0,0,0,0,0,586288.6037416334,4141282.4645371814,-4.018012036016617,0.48988962173461914,2.81315443829278,0,1,0,0,1,2
