RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation9_Scenario28,11.21,1.36,1.93,14.50,1
Generation9_Scenario29,11.21,1.34,1.52,14.07,1
Generation9_Scenario30,11.23,1.38,1.54,14.15,1
Generation9_Scenario31,11.23,1.41,1.95,14.59,1
Generation9_Scenario32,11.23,1.44,3.08,15.75,1
Generation9_Scenario33,11.22,1.59,2.00,14.81,1
Generation9_Scenario34,11.22,1.50,1.64,14.36,1
Generation9_Scenario35,11.19,1.44,3.88,16.51,1
Generation9_Scenario36,11.24,1.36,1.81,14.41,1
Generation9_Scenario37,11.22,1.63,1.35,14.20,1
Generation9_Scenario38,11.23,1.43,1.64,14.30,1
Generation9_Scenario39,11.22,1.41,2.35,14.98,1
Generation9_Scenario40,11.22,1.38,1.32,13.92,1
Generation9_Scenario41,22.46,3.00,2.81,28.27,2
Generation9_Scenario42,11.24,1.36,1.45,14.06,1
Generation9_Scenario43,11.21,1.46,1.49,14.17,1
Generation9_Scenario44,11.26,1.39,2.12,14.78,1
Generation9_Scenario45,11.20,1.49,2.22,14.90,1
Generation9_Scenario46,11.20,1.36,1.74,14.29,1
Generation9_Scenario47,11.21,1.50,2.05,14.76,1
Generation9_Scenario48,11.25,1.53,1.95,14.73,1
Generation9_Scenario49,11.23,1.49,1.93,14.65,1
Generation9_Scenario50,11.21,1.43,2.03,14.67,1
Generation10_Scenario1,11.21,1.39,2.46,15.06,1
Generation10_Scenario2,11.23,1.38,1.45,14.06,1
Generation10_Scenario3,11.22,1.38,2.10,14.70,1
Generation10_Scenario4,11.23,1.45,1.90,14.58,1
Generation10_Scenario5,11.20,1.40,2.06,14.65,1
Generation10_Scenario6,11.22,1.41,1.98,14.61,1
Generation10_Scenario7,11.25,1.45,2.62,15.32,1
Generation10_Scenario8,11.25,1.47,1.56,14.28,1
Generation10_Scenario9,11.23,1.39,1.81,14.42,1
Generation10_Scenario10,11.19,1.39,1.65,14.23,1
Generation10_Scenario11,11.24,1.35,1.61,14.19,1
Generation10_Scenario12,11.21,1.40,2.17,14.77,1
Generation10_Scenario13,11.23,1.48,1.60,14.32,1
Generation10_Scenario14,11.24,1.44,2.84,15.52,1
Generation10_Scenario15,11.21,1.35,1.46,14.02,1
Generation10_Scenario16,11.23,1.43,2.42,15.08,1
Generation10_Scenario17,11.21,1.38,2.10,14.69,1
Generation10_Scenario18,11.23,1.51,1.97,14.72,1
Generation10_Scenario19,11.26,1.41,1.70,14.37,1
Generation10_Scenario20,11.18,1.41,2.16,14.75,1
Generation10_Scenario21,11.22,1.38,1.92,14.52,1
Generation10_Scenario22,11.23,1.45,2.05,14.72,1
Generation10_Scenario23,11.21,7.22,2.11,20.54,1
Generation10_Scenario24,11.23,1.43,2.36,15.02,1
Generation10_Scenario25,22.48,2.94,3.27,28.68,2
Generation10_Scenario26,11.23,1.45,1.81,14.49,1
Generation10_Scenario27,11.23,1.39,1.63,14.24,1
Generation10_Scenario28,11.23,1.43,1.99,14.66,1
Generation10_Scenario29,11.21,1.56,1.78,14.55,1
Generation10_Scenario30,11.23,1.51,1.48,14.23,1
Generation10_Scenario31,11.20,1.40,1.68,14.27,1
Generation10_Scenario32,11.22,1.34,1.87,14.43,1
Generation10_Scenario33,11.21,1.43,1.58,14.22,1
Generation10_Scenario34,11.21,1.46,1.63,14.30,1
Generation10_Scenario35,11.22,1.43,2.17,14.82,1
Generation10_Scenario36,11.22,1.38,1.86,14.47,1
Generation10_Scenario37,11.21,1.41,1.35,13.97,1
Generation10_Scenario38,11.23,1.47,1.83,14.53,1
Generation10_Scenario39,11.21,1.38,1.65,14.24,1
Generation10_Scenario40,11.25,1.40,1.80,14.44,1
Generation10_Scenario41,11.22,1.58,2.18,14.98,1
Generation10_Scenario42,11.24,1.40,1.82,14.47,1
Generation10_Scenario43,11.20,1.39,1.28,13.87,1
Generation10_Scenario44,11.25,1.37,1.92,14.55,1
Generation10_Scenario45,11.22,1.39,2.06,14.68,1
Generation10_Scenario46,11.22,1.41,1.72,14.36,1
Generation10_Scenario47,11.23,1.37,1.99,14.59,1
Generation10_Scenario48,11.22,1.41,2.32,14.95,1
Generation10_Scenario49,11.21,1.37,1.95,14.54,1
Generation10_Scenario50,11.22,1.40,1.90,14.52,1
Generation11_Scenario1,11.23,1.48,1.89,14.59,1
Generation11_Scenario2,11.23,1.42,1.79,14.43,1
Generation11_Scenario3,11.22,1.41,2.34,14.96,1
Generation11_Scenario4,11.23,1.42,2.16,14.80,1
Generation11_Scenario5,11.21,1.40,2.12,14.73,1
Generation11_Scenario6,11.24,1.37,2.50,15.11,1
Generation11_Scenario7,11.21,1.41,1.94,14.56,1
Generation11_Scenario8,11.20,1.41,1.50,14.11,1
Generation11_Scenario9,11.24,1.48,1.64,14.36,1
Generation11_Scenario10,11.20,1.44,1.41,14.05,1
Generation11_Scenario11,11.21,1.40,1.58,14.18,1
Generation11_Scenario12,11.20,1.36,2.78,15.34,1
Generation11_Scenario13,11.18,1.38,1.75,14.30,1
Generation11_Scenario14,11.21,1.39,2.35,14.96,1
Generation11_Scenario15,11.21,1.40,1.40,14.01,1
Generation11_Scenario16,11.23,1.41,2.15,14.79,1
Generation11_Scenario17,11.27,1.44,1.79,14.49,1
Generation11_Scenario18,11.24,1.46,2.29,15.00,1
Generation11_Scenario19,11.20,1.47,1.30,13.97,1
Generation11_Scenario20,11.24,1.43,2.37,15.04,1
Generation11_Scenario21,11.22,1.37,2.04,14.63,1
Generation11_Scenario22,11.21,1.62,1.94,14.77,1
Generation11_Scenario23,11.25,1.42,2.19,14.86,1
Generation11_Scenario24,11.21,1.59,2.04,14.85,1
Generation11_Scenario25,11.22,1.43,2.07,14.71,1
Generation11_Scenario26,11.20,1.41,1.84,14.45,1
Generation11_Scenario27,11.24,1.43,1.56,14.23,1
Generation11_Scenario28,11.21,1.46,1.69,14.36,1
Generation11_Scenario29,11.20,1.41,1.72,14.32,1
Generation11_Scenario30,11.25,1.39,1.43,14.07,1
Generation11_Scenario31,11.21,1.44,1.65,14.30,1
Generation11_Scenario32,11.22,1.38,1.83,14.43,1
Generation11_Scenario33,11.26,1.39,1.67,14.33,1
Generation11_Scenario34,11.21,1.49,1.63,14.33,1
Generation11_Scenario35,11.19,1.39,2.25,14.83,1
Generation11_Scenario36,11.22,1.49,2.73,15.44,1
Generation11_Scenario37,11.22,1.46,1.53,14.20,1
Generation11_Scenario38,11.20,1.48,2.66,15.34,1
Generation11_Scenario39,11.17,1.35,1.69,14.21,1
Generation11_Scenario40,11.21,1.39,1.35,13.95,1
Generation11_Scenario41,11.22,1.49,1.59,14.29,1
Generation11_Scenario42,11.22,1.43,1.40,14.05,1
Generation11_Scenario43,11.19,1.39,1.67,14.24,1
Generation11_Scenario44,11.26,1.47,1.85,14.58,1
Generation11_Scenario45,11.19,1.37,1.83,14.39,1
Generation11_Scenario46,11.20,4.45,2.07,17.73,1
Generation11_Scenario47,11.20,1.40,2.09,14.70,1
Generation11_Scenario48,11.22,1.40,1.71,14.32,1
Generation11_Scenario49,11.22,1.47,2.26,14.95,1
Generation11_Scenario50,11.23,1.53,2.09,14.85,1
Generation12_Scenario1,11.23,1.43,1.71,14.37,1
Generation12_Scenario2,11.24,1.37,1.53,14.14,1
Generation12_Scenario3,11.22,1.39,2.07,14.69,1
Generation12_Scenario4,11.20,1.38,2.07,14.64,1
Generation12_Scenario5,11.21,1.51,2.45,15.18,1
Generation12_Scenario6,11.23,1.40,2.04,14.67,1
Generation12_Scenario7,11.24,1.41,2.07,14.72,1
Generation12_Scenario8,11.24,1.38,1.53,14.15,1
Generation12_Scenario9,11.24,1.45,1.67,14.36,1
Generation12_Scenario10,11.25,1.44,1.42,14.12,1
Generation12_Scenario11,11.21,1.39,2.31,14.91,1
Generation12_Scenario12,11.23,1.47,3.50,16.20,1
Generation12_Scenario13,11.22,1.37,1.78,14.36,1
Generation12_Scenario14,11.24,1.46,2.22,14.93,1
Generation12_Scenario15,11.21,1.41,1.43,14.05,1
Generation12_Scenario16,11.22,1.40,2.16,14.78,1
Generation12_Scenario17,11.25,1.47,2.00,14.72,1
Generation12_Scenario18,11.24,1.47,2.19,14.90,1
Generation12_Scenario19,11.25,1.37,1.31,13.93,1
Generation12_Scenario20,22.46,2.75,3.21,28.42,2
Generation12_Scenario21,11.23,1.49,1.83,14.56,1
Generation12_Scenario22,22.40,2.87,4.41,29.68,2
Generation12_Scenario23,11.23,1.39,2.16,14.77,1
Generation12_Scenario24,11.20,1.39,1.98,14.56,1
Generation12_Scenario25,11.25,1.40,1.86,14.50,1
Generation12_Scenario26,11.21,1.42,1.43,14.05,1
Generation12_Scenario27,11.24,1.46,1.40,14.10,1
Generation12_Scenario28,11.19,1.52,1.92,14.62,1
Generation12_Scenario29,11.22,1.37,1.46,14.05,1
Generation12_Scenario30,11.25,1.42,1.74,14.41,1
Generation12_Scenario31,11.23,1.36,1.42,14.01,1
Generation12_Scenario32,11.23,1.40,3.37,16.01,1
Generation12_Scenario33,11.22,1.42,1.58,14.22,1
Generation12_Scenario34,11.22,1.44,1.56,14.22,1
Generation12_Scenario35,11.22,1.40,2.91,15.53,1
Generation12_Scenario36,11.23,1.43,1.59,14.25,1
Generation12_Scenario37,11.19,1.35,1.98,14.52,1
Generation12_Scenario38,11.22,1.41,1.88,14.50,1
Generation12_Scenario39,11.23,1.49,2.15,14.88,1
Generation12_Scenario40,11.24,1.40,1.51,14.15,1
Generation12_Scenario41,11.21,1.41,1.56,14.18,1
Generation12_Scenario42,11.24,1.39,1.44,14.07,1
Generation12_Scenario43,11.23,1.46,1.37,14.06,1
Generation12_Scenario44,11.25,1.45,1.88,14.58,1
Generation12_Scenario45,11.22,1.47,2.10,14.80,1
Generation12_Scenario46,11.22,1.48,2.32,15.03,1
Generation12_Scenario47,11.22,1.39,2.71,15.32,1
Generation12_Scenario48,11.22,1.35,2.04,14.61,1
Generation12_Scenario49,22.40,2.70,3.68,28.78,2
Generation12_Scenario50,11.21,1.40,1.86,14.47,1
Generation13_Scenario1,11.24,1.46,1.92,14.63,1
Generation13_Scenario2,11.19,1.43,1.27,13.89,1
Generation13_Scenario3,11.25,1.38,2.11,14.73,1
Generation13_Scenario4,11.23,1.45,1.87,14.56,1
Generation13_Scenario5,11.20,1.45,2.16,14.80,1
Generation13_Scenario6,11.22,1.48,1.96,14.66,1
Generation13_Scenario7,11.22,1.38,1.91,14.51,1
Generation13_Scenario8,11.23,1.41,2.02,14.66,1
Generation13_Scenario9,11.22,1.40,1.51,14.12,1
Generation13_Scenario10,11.21,1.38,1.89,14.48,1
Generation13_Scenario11,22.47,2.68,2.90,28.05,2
Generation13_Scenario12,11.25,1.36,2.11,14.72,1
Generation13_Scenario13,11.20,1.40,2.28,14.88,1
Generation13_Scenario14,11.20,1.37,1.93,14.50,1
Generation13_Scenario15,11.22,1.37,1.41,14.00,1
Generation13_Scenario16,11.20,1.48,2.43,15.11,1
Generation13_Scenario17,11.21,1.40,2.22,14.83,1
Generation13_Scenario18,11.20,1.38,2.10,14.67,1
Generation13_Scenario19,11.22,1.37,1.24,13.83,1
Generation13_Scenario20,11.21,1.37,2.09,14.67,1
Generation13_Scenario21,11.25,1.40,2.31,14.96,1
