RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation2_Scenario10,11.24,1.47,1.81,14.52,1
Generation2_Scenario11,11.25,1.50,2.90,15.65,1
Generation2_Scenario12,11.22,1.59,1.81,14.62,1
Generation2_Scenario13,11.21,1.37,1.93,14.50,1
Generation2_Scenario14,11.21,1.43,2.34,14.98,1
Generation2_Scenario15,11.20,1.38,1.42,14.00,1
Generation2_Scenario16,11.22,1.51,2.51,15.25,1
Generation2_Scenario17,11.24,1.46,2.17,14.87,1
Generation2_Scenario18,11.23,1.39,1.89,14.51,1
Generation2_Scenario19,11.20,1.43,1.35,13.98,1
Generation2_Scenario20,11.20,1.46,1.83,14.49,1
Generation2_Scenario21,11.24,1.44,2.27,14.96,1
Generation2_Scenario22,11.24,1.46,2.24,14.94,1
Generation2_Scenario23,11.21,1.51,1.88,14.60,1
Generation2_Scenario24,11.21,1.50,1.84,14.55,1
Generation2_Scenario25,11.24,1.39,1.97,14.59,1
Generation2_Scenario26,11.21,1.39,1.47,14.08,1
Generation2_Scenario27,11.20,1.44,1.70,14.33,1
Generation2_Scenario28,11.21,1.55,2.09,14.85,1
Generation2_Scenario29,11.22,1.52,1.59,14.33,1
Generation2_Scenario30,11.22,1.41,1.80,14.43,1
Generation2_Scenario31,11.24,1.40,2.33,14.96,1
Generation2_Scenario32,11.26,1.38,1.96,14.60,1
Generation2_Scenario33,22.44,2.88,3.25,28.57,2
Generation2_Scenario34,11.25,1.41,1.57,14.22,1
Generation2_Scenario35,11.24,1.46,2.03,14.72,1
Generation2_Scenario36,11.20,1.35,1.84,14.39,1
Generation2_Scenario37,11.24,1.41,1.75,14.39,1
Generation2_Scenario38,11.22,1.40,1.60,14.22,1
Generation2_Scenario39,11.23,1.52,1.80,14.55,1
Generation2_Scenario40,11.20,1.51,1.49,14.20,1
Generation2_Scenario41,11.24,1.45,1.98,14.68,1
Generation2_Scenario42,11.23,1.39,1.35,13.97,1
Generation2_Scenario43,11.23,1.47,1.61,14.32,1
Generation2_Scenario44,11.23,1.41,2.57,15.21,1
Generation2_Scenario45,11.24,1.45,2.10,14.79,1
Generation2_Scenario46,11.25,1.47,2.01,14.73,1
Generation2_Scenario47,11.18,1.49,1.87,14.54,1
Generation2_Scenario48,11.24,1.44,1.88,14.55,1
Generation2_Scenario49,11.22,1.35,1.87,14.44,1
Generation2_Scenario50,11.24,1.46,2.09,14.79,1
Generation3_Scenario1,11.21,1.36,1.66,14.22,1
Generation3_Scenario2,11.21,1.38,1.23,13.82,1
Generation3_Scenario3,11.25,1.51,1.90,14.66,1
Generation3_Scenario4,11.23,1.51,1.86,14.60,1
Generation3_Scenario5,11.23,1.44,1.82,14.49,1
Generation3_Scenario6,22.50,2.75,3.39,28.64,2
Generation3_Scenario7,11.27,1.43,1.90,14.60,1
Generation3_Scenario8,11.24,1.42,1.80,14.46,1
Generation3_Scenario9,11.24,1.39,1.78,14.41,1
Generation3_Scenario10,11.21,1.37,1.89,14.47,1
Generation3_Scenario11,11.22,1.48,1.70,14.40,1
Generation3_Scenario12,11.24,1.39,1.99,14.62,1
Generation3_Scenario13,11.24,1.45,1.99,14.68,1
Generation3_Scenario14,11.23,1.47,2.20,14.91,1
Generation3_Scenario15,11.26,1.52,1.62,14.39,1
Generation3_Scenario16,11.22,1.45,2.37,15.04,1
Generation3_Scenario17,22.38,2.86,3.48,28.72,2
Generation3_Scenario18,11.25,1.44,1.98,14.67,1
Generation3_Scenario19,11.22,1.36,1.33,13.92,1
Generation3_Scenario20,11.17,1.43,2.14,14.73,1
Generation3_Scenario21,11.19,1.47,2.46,15.12,1
Generation3_Scenario22,11.19,1.48,2.14,14.81,1
Generation3_Scenario23,11.23,1.39,2.04,14.67,1
Generation3_Scenario24,11.18,1.38,1.81,14.37,1
Generation3_Scenario25,11.23,1.38,2.17,14.77,1
Generation3_Scenario26,11.25,1.50,2.14,14.89,1
Generation3_Scenario27,11.24,1.47,1.64,14.35,1
Generation3_Scenario28,11.25,1.42,1.64,14.31,1
Generation3_Scenario29,11.23,1.38,1.44,14.06,1
Generation3_Scenario30,11.21,1.39,1.56,14.16,1
Generation3_Scenario31,11.22,1.47,1.46,14.16,1
